No,Rank,Ring Name,Percentage,Stone,Percentage 2,Middle Little Stone,Percentage 3,Side Stone,Percentage 4,Shank,Percentage 5,Gem Holder,Percentage 6,Background,Percentage 7,Total
#204,118,King Gold Collection,4.6,King Ruby  Red,0.2,King Ruby  Red,0.2,King Ruby  Red,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#220,102,King Gold Collection,4.6,King Ruby Khaki,0.2,King Ruby Khaki,0.2,King Ruby Khaki,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#221,101,King Gold Collection,4.6,King Ruby Umber,0.2,King Ruby Umber,0.2,King Ruby Umber,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#222,100,King Gold Collection,4.6,King Ruby  Lavender,0.2,King Ruby  Lavender,0.2,King Ruby  Lavender,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#213,109,King Gold Collection,4.6,King Ruby Dark Purple,0.2,King Ruby Dark Purple,0.2,King Ruby Dark Purple,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#29,123,Original Ring Collection,10.2,Rough Diamond Pink,5.4,Rough Diamond White,1.2,Rough Diamond White,1.2,Silver Plate,10.2,Silver Plate,10.2,Pink White Soft Tie Dye,0.6,5.57142857
#202,120,King Gold Collection,4.6,King Ruby Pink,0.2,King Ruby Pink,0.2,King Ruby Pink,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#206,116,King Gold Collection,4.6,King Ruby  Green,0.2,King Ruby  Green,0.2,King Ruby  Green,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#24,124,Original Ring Collection,10.2,Rough Diamond Pink,5.4,Rough Diamond Lemon ,1.2,Rough Diamond Lemon ,1.2,Silver Plate,10.2,Silver Plate,10.2,Pink Lemon Soft Tie Dye,0.6,5.57142857
#207,115,King Gold Collection,4.6,King Ruby  White,0.2,King Ruby  White,0.2,King Ruby  White,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
