No,Rank,Ring Name,Percentage,Stone,Percentage 2,Middle Little Stone,Percentage 3,Side Stone,Percentage 4,Shank,Percentage 5,Gem Holder,Percentage 6,Background,Percentage 7,Total
#196,500,Metal Black Collection,10,Diamond White,2.2,Diamond Green,1,Diamond Green,1.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.45714286
#179,499,Metal Black Collection,10,Diamond Pink,2,Diamond Green,1,Diamond Green,1.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.42857143
#157,498,Metal Black Collection,10,Diamond White,2.2,Diamond White,0.6,Diamond Green,1.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.4
#198,497,Metal Black Collection,10,Diamond White,2.2,Diamond Lavender,1,Diamond Lavender,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.4
#177,496,Metal Black Collection,10,Diamond Pink,2,Diamond Leaf Green,1,Diamond Leaf Green,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.37142857
#197,493,Metal Black Collection,10,Diamond White,2.2,Diamond Black,0.8,Diamond Black,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.34285714
#195,494,Metal Black Collection,10,Diamond White,2.2,Diamond Blue,0.8,Diamond Blue,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.34285714
#200,492,Metal Black Collection,10,Diamond White,2.2,Diamond Peach,0.8,Diamond Peach,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.34285714
#201,491,Metal Black Collection,10,Diamond White,2.2,Diamond Rosewood,0.8,Diamond Rosewood,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.34285714
#187,495,Metal Black Collection,10,Diamond Yellow,1.4,Diamond Green,1,Diamond Green,1.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.34285714
#178,488,Metal Black Collection,10,Diamond Pink,2,Diamond Blue,0.8,Diamond Blue,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#193,485,Metal Black Collection,10,Diamond White,2.2,Diamond Red,0.8,Diamond Red,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#163,490,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Leaf Green,1,Diamond Leaf Green,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#181,487,Metal Black Collection,10,Diamond Pink,2,Diamond Black,0.8,Diamond Black,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#175,489,Metal Black Collection,10,Diamond Pink,2,Diamond Lemon,0.8,Diamond Lemon,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#192,486,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Lavender,1,Diamond Lavender,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#183,483,Metal Black Collection,10,Diamond Yellow,1.4,Diamond Lavender,1,Diamond Lavender,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.28571429
#176,484,Metal Black Collection,10,Diamond Pink,2,Diamond Red,0.8,Diamond Pink,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.28571429
#194,481,Metal Black Collection,10,Diamond White,2.2,Diamond Yellow,0.6,Diamond Yellow,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.28571429
#185,482,Metal Black Collection,10,Diamond Yellow,1.4,Diamond Leaf Green,1,Diamond Leaf Green,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.28571429
#182,480,Metal Black Collection,10,Diamond Pink,2,Diamond Teal,0.6,Diamond Teal,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.25714286
#191,478,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Peach,0.8,Diamond Peach,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.25714286
#190,479,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Rosewood,0.8,Diamond Rosewood,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.25714286
#152,477,Metal Black Collection,10,Diamond Pink,2,Diamond Pink,0.4,Diamond Pink,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.22857143
#199,476,Metal Black Collection,10,Diamond White,2.2,Diamond Taupe,0.4,Diamond Taupe,0.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.22857143
#347,474,Green Machine Collection,10,Amethys White,1.8,Amethys Green,0.8,Amethys Green,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13.22857143
#349,473,Green Machine Collection,10,Amethys White,1.8,Amethys Lavender,0.8,Amethys Lavender,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13.22857143
#330,475,Green Machine Collection,10,Amethys Lemon,1.8,Amethys Green,0.8,Amethys Green,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13.22857143
#188,469,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Turqoise,0.6,Diamond Turqoise,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.2
#156,472,Metal Black Collection,10,Diamond Green,0.4,Diamond Green,1,Diamond Green,1.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.2
#180,470,Metal Black Collection,10,Diamond Pink,2,Diamond White,0.6,Diamond White,0.2,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.2
#164,471,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Aqua,0.6,Diamond Aqua,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.2
#184,467,Metal Black Collection,10,Diamond Yellow,1.4,Diamond Umber,0.6,Diamond Umber,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.17142857
#329,461,Green Machine Collection,10,Amethys Lemon,1.8,Amethys Blue,0.6,Amethys Blue,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#186,466,Metal Black Collection,10,Diamond Yellow,1.4,Diamond Turqoise,0.6,Diamond Turqoise,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.17142857
#345,456,Green Machine Collection,10,Amethys White,1.8,Amethys Yellow,0.6,Amethys Yellow,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#153,468,Metal Black Collection,10,Diamond Yellow,1.4,Diamond Yellow,0.6,Diamond Yellow,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.17142857
#337,458,Green Machine Collection,10,Amethys Ice Blue,1.4,Amethys Green,0.8,Amethys Green,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#344,457,Green Machine Collection,10,Amethys White,1.8,Amethys Red,0.6,Amethys Red,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#331,460,Green Machine Collection,10,Amethys Lemon,1.8,Amethys White,0.6,Amethys White,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#333,459,Green Machine Collection,10,Amethys Ice Blue,1.4,Amethys Lavender,0.8,Amethys Lavender,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#351,453,Green Machine Collection,10,Amethys White,1.8,Amethys Peach,0.6,Amethys Peach,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#327,463,Green Machine Collection,10,Amethys Lemon,1.8,Amethys Red,0.6,Amethys Red,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#346,455,Green Machine Collection,10,Amethys White,1.8,Amethys Blue,0.6,Amethys Blue,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#348,454,Green Machine Collection,10,Amethys White,1.8,Amethys Purple,0.6,Amethys Purple,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#328,462,Green Machine Collection,10,Amethys Lemon,1.8,Amethys Yellow,0.6,Amethys Yellow,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#326,464,Green Machine Collection,10,Amethys Lemon,1.8,Amethys Purple,0.6,Amethys Purple,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#308,465,Green Machine Collection,10,Amethys White,1.8,Amethys White,0.6,Amethys White,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.17142857
#162,452,Metal Black Collection,10,Diamond Leaf Green,0.4,Diamond Leaf Green,1,Diamond Leaf Green,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.14285714
#172,451,Metal Black Collection,10,Diamond Lavender,0.4,Diamond Lavender,1,Diamond Lavender,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.14285714
#350,446,Green Machine Collection,10,Amethys White,1.8,Amethys Ice Blue,0.4,Amethys Ice Blue,0.4,Green Machine,10,Green Machine,10,Space Studio,59.2,13.11428571
#338,448,Green Machine Collection,10,Amethys Ice Blue,1.4,Diamond Aqua,0.6,Diamond Aqua,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.11428571
#332,450,Green Machine Collection,10,Amethys Lemon,1.8,Amethys Aqua,0.4,Amethys Aqua,0.4,Green Machine,10,Green Machine,10,Space Studio,59.2,13.11428571
#336,449,Green Machine Collection,10,Amethys Ice Blue,1.4,Amethys Rosewood,0.6,Amethys Rosewood,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.11428571
#343,447,Green Machine Collection,10,Amethyst Leaf Green,1,Amethys Lavender,0.8,Amethys Lavender,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13.11428571
#169,442,Metal Black Collection,10,Diamond Peach,0.4,Diamond Peach,0.8,Diamond Peach,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.08571429
#189,440,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Sienna,0.2,Diamond Sienna,0.2,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.08571429
#168,443,Metal Black Collection,10,Diamond Rosewood,0.4,Diamond Rosewood,0.8,Diamond Rosewood,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.08571429
#158,444,Metal Black Collection,10,Diamond Black,0.4,Diamond Black,0.8,Diamond Black,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.08571429
#174,441,Metal Black Collection,10,Diamond Lemon,0.4,Diamond Lemon,0.8,Diamond Lemon,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.08571429
#155,445,Metal Black Collection,10,Diamond Blue,0.4,Diamond Blue,0.8,Diamond Blue,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.08571429
#335,434,Green Machine Collection,10,Amethys Ice Blue,1.4,Amethys Orange,0.4,Amethys Orange,0.4,Green Machine,10,Green Machine,10,Space Studio,59.2,13.05714286
#325,436,Green Machine Collection,10,Amethys Lemon,1.8,Amethys Pink,0.2,Amethys Pink,0.2,Green Machine,10,Green Machine,10,Space Studio,59.2,13.05714286
#340,433,Green Machine Collection,10,Amethyst Leaf Green,1,Amethys White,0.6,Amethys White,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.05714286
#324,437,Green Machine Collection,10,Amethys Lemon,1.8,Amethyst Leaf Green,0.2,Amethyst Leaf Green,0.2,Green Machine,10,Green Machine,10,Space Studio,59.2,13.05714286
#334,435,Green Machine Collection,10,Amethys Ice Blue,1.4,Amethys Umber,0.4,Amethys Umber,0.4,Green Machine,10,Green Machine,10,Space Studio,59.2,13.05714286
#341,432,Green Machine Collection,10,Amethyst Leaf Green,1,Amethys Rosewood,0.6,Amethys Rosewood,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.05714286
#316,438,Green Machine Collection,10,Amethys Ice Blue,1.4,Amethys Ice Blue,0.4,Amethys Ice Blue,0.4,Green Machine,10,Green Machine,10,Space Studio,59.2,13.05714286
#342,431,Green Machine Collection,10,Amethyst Leaf Green,1,Amethys Peach,0.6,Amethys Peach,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,13.05714286
#154,439,Metal Black Collection,10,Diamond Red,0.4,Diamond Red,0.8,Diamond Red,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.05714286
#171,429,Metal Black Collection,10,Diamond Umber,0.4,Diamond Umber,0.6,Diamond Umber,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.02857143
#161,430,Metal Black Collection,10,Diamond Teal,0.4,Diamond Teal,0.6,Diamond Teal,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.02857143
#302,428,Green Machine Collection,10,Lava Stone,0.6,Lava Stone,0.6,Lava Stone,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13.02857143
#307,426,Green Machine Collection,10,Amethys Green,0.2,Amethys Green,0.8,Amethys Green,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13
#165,427,Metal Black Collection,10,Diamond Turqoise,0.2,Diamond Turqoise,0.6,Diamond Turqoise,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13
#323,425,Green Machine Collection,10,Amethys Lavender,0.2,Amethys Lavender,0.8,Amethys Lavender,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13
#166,422,Metal Black Collection,10,Diamond Jade,0.4,Diamond Jade,0.4,Diamond Jade,0.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,12.97142857
#160,423,Metal Black Collection,10,Diamond Orange,0.4,Diamond Orange,0.4,Diamond Orange,0.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,12.97142857
#170,421,Metal Black Collection,10,Diamond Khaki,0.4,Diamond Khaki,0.4,Diamond Khaki,0.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,12.97142857
#159,424,Metal Black Collection,10,Diamond Ice Blue,0.4,Diamond Ice Blue,0.4,Diamond Ice Blue,0.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,12.97142857
#305,418,Green Machine Collection,10,Amethys Red,0.2,Amethys Red,0.6,Amethys Red,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,12.94285714
#320,414,Green Machine Collection,10,Amethys Peach,0.2,Amethys Peach,0.6,Amethys Peach,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,12.94285714
#314,416,Green Machine Collection,10,Amethys Purple,0.2,Amethys Purple,0.6,Amethys Purple,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,12.94285714
#319,415,Green Machine Collection,10,Amethys Rosewood,0.2,Amethys Rosewood,0.6,Amethys Rosewood,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,12.94285714
#173,420,Metal Black Collection,10,Diamond Taupe,0.2,Diamond Taupe,0.4,Diamond Taupe,0.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,12.94285714
#304,419,Green Machine Collection,10,Amethys Yellow,0.2,Amethys Yellow,0.6,Amethys Yellow,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,12.94285714
#306,417,Green Machine Collection,10,Amethys Blue,0.2,Amethys Blue,0.6,Amethys Blue,0.6,Green Machine,10,Green Machine,10,Space Studio,59.2,12.94285714
#339,413,Green Machine Collection,10,Amethyst Leaf Green,1,Amethys Lemon,0.2,Amethys Lemon,0.2,Green Machine,10,Green Machine,10,Space Studio,59.2,12.94285714
#322,409,Green Machine Collection,10,Amethys Umber,0.2,Amethys Umber,0.4,Amethys Umber,0.4,Green Machine,10,Green Machine,10,Space Studio,59.2,12.88571429
#315,410,Green Machine Collection,10,Amethys Aqua,0.2,Amethys Aqua,0.4,Amethys Aqua,0.4,Green Machine,10,Green Machine,10,Space Studio,59.2,12.88571429
#311,411,Green Machine Collection,10,Amethys Orange,0.2,Amethys Orange,0.4,Amethys Orange,0.4,Green Machine,10,Green Machine,10,Space Studio,59.2,12.88571429
#167,412,Metal Black Collection,10,Diamond Coper,0.2,Diamond Coper,0.2,Diamond Coper,0.2,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,12.88571429
#303,408,Green Machine Collection,10,Amethyst Pink,0.2,Amethyst Pink,0.2,Amethyst Pink,0.2,Green Machine,10,Green Machine,10,Space Studio,59.2,12.82857143
#321,401,Green Machine Collection,10,Amethys Khaki,0.2,Amethys Khaki,0.2,Amethys Khaki,0.2,Green Machine,10,Green Machine,10,Space Studio,59.2,12.82857143
#313,404,Green Machine Collection,10,Amethysbrown,0.2,Amethysbrown,0.2,Amethysbrown,0.2,Green Machine,10,Green Machine,10,Space Studio,59.2,12.82857143
#318,402,Green Machine Collection,10,Amethys Putty,0.2,Amethys Putty,0.2,Amethys Putty,0.2,Green Machine,10,Green Machine,10,Space Studio,59.2,12.82857143
#310,406,Green Machine Collection,10,Amethys Teal,0.2,Amethys Teal,0.2,Amethys Teal,0.2,Green Machine,10,Green Machine,10,Space Studio,59.2,12.82857143
#309,407,Green Machine Collection,10,Amethys Black,0.2,Amethys Black,0.2,Amethys Black,0.2,Green Machine,10,Green Machine,10,Space Studio,59.2,12.82857143
#312,405,Green Machine Collection,10,Amethys Leaf Green,0.2,Amethys Leaf Green,0.2,Amethys Leaf Green,0.2,Green Machine,10,Green Machine,10,Space Studio,59.2,12.82857143
#317,403,Green Machine Collection,10,Amethys Jade,0.2,Amethys Jade,0.2,Amethys Jade,0.2,Green Machine,10,Green Machine,10,Space Studio,59.2,12.82857143
#376,400,Alien Collection,7.4,Alien Stone Yellow,2.8,Alien Stone Red,2.2,Alien Stone Red,2.2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.65714286
#378,399,Alien Collection,7.4,Alien Stone Yellow,2.8,Alien Stone White,2,Alien Stone White,2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.6
#380,397,Alien Collection,7.4,Alien Stone Yellow,2.8,Alien Stone Green,1.8,Alien Stone Green,1.8,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.54285714
#379,398,Alien Collection,7.4,Alien Stone Yellow,2.8,Alien Stone Orange,1.8,Alien Stone Orange,1.8,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.54285714
#354,396,Alien Collection,7.4,Alien Stone Red,1.8,Alien Stone Red,2.2,Alien Stone Red,2.2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.51428571
#417,395,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone Red,2.2,Alien Stone Red,2.2,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.51428571
#426,392,Cosmic Power ,13.6,Alien Stone Yellow,2.8,Alien Stone White,2,Alien Stone White,2,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.45714286
#383,394,Alien Collection,7.4,Alien Stone Red,1.8,Alien Stone White,2,Alien Stone White,2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.45714286
#415,393,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone White,2,Alien Stone White,2,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.45714286
#353,391,Alien Collection,7.4,Alien Stone Yellow,2.8,Alien Stone Yellow,1.4,Alien Stone Yellow,1.4,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.42857143
#416,389,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone Orange,1.8,Alien Stone Orange,1.8,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.4
#427,388,Cosmic Power ,13.6,Alien Stone Yellow,2.8,Alien Stone Green,1.8,Alien Stone Green,1.8,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.4
#414,390,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone Green,1.8,Alien Stone Green,1.8,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.4
#377,386,Alien Collection,7.4,Alien Stone Yellow,2.8,Alien Stone Blue,1.2,Alien Stone Blue,1.2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.37142857
#357,387,Alien Collection,7.4,Alien Stone White,1.2,Alien Stone White,2,Alien Stone White,2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.37142857
#360,385,Alien Collection,7.4,Alien Stone Orange,1.4,Alien Stone Orange,1.8,Alien Stone Orange,1.8,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.34285714
#356,384,Alien Collection,7.4,Alien Stone Green,1.2,Alien Stone Green,1.8,Alien Stone Green,1.8,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.31428571
#423,383,Cosmic Power ,13.6,Alien Stone Red,1.8,Alien Stone White,2,Alien Stone White,2,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.31428571
#419,381,Cosmic Power ,13.6,Alien Stone White,1.2,Alien Stone Red,2.2,Alien Stone Red,2.2,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.28571429
#381,382,Alien Collection,7.4,Alien Stone Red,1.8,Alien Stone Yellow,1.4,Alien Stone Yellow,1.4,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.28571429
#424,380,Cosmic Power ,13.6,Alien Stone Red,1.8,Alien Stone Green,1.8,Alien Stone Green,1.8,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.25714286
#413,378,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone Blue,1.2,Alien Stone Blue,1.2,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.22857143
#382,379,Alien Collection,7.4,Alien Stone Red,1.8,Alien Stone Blue,1.2,Alien Stone Blue,1.2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.22857143
#375,376,Alien Collection,7.4,Alien Stone Pink,2.8,Alien Stone Pink,0.6,Alien Stone Pink,0.6,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.2
#352,377,Alien Collection,7.4,Vulcano Stone!,1.4,Vulcano Stone!,1.6,Vulcano Stone!,1,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.2
#418,375,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone Aqua,1,Alien Stone Aqua,1,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.17142857
#420,374,Cosmic Power ,13.6,Alien Stone White,1.2,Alien Stone Orange,1.8,Alien Stone Orange,1.8,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.17142857
#364,373,Alien Collection,7.4,Alien Stone Aqua,1.4,Alien Stone Aqua,1,Alien Stone Aqua,1,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.11428571
#425,372,Cosmic Power ,13.6,Alien Stone Red,1.8,Alien Stonepurple,1.2,Alien Stonepurple,1.2,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.08571429
#421,370,Cosmic Power ,13.6,Alien Stone White,1.2,Alien Stone Yellow,1.4,Alien Stone Yellow,1.4,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,12.05714286
#384,371,Alien Collection,7.4,Alien Stone Red,1.8,Alien Stone Pink,0.6,Alien Stone Pink,0.6,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.05714286
#355,369,Alien Collection,7.4,Alien Stone Blue,0.4,Alien Stone Blue,1.2,Alien Stone Blue,1.2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.02857143
#363,368,Alien Collection,7.4,Alien Stonepurple,0.4,Alien Stonepurple,1.2,Alien Stonepurple,1.2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,12.02857143
#390,366,Cosmic Power ,13.6,Alien Stone Yellow,2.8,Alien Stone Yellow,1.4,Alien Stone Yellow,1.4,Yellow Light Plat,1.2,Blue Light Plat,4.2,Space Studio,59.2,11.97142857
#362,367,Alien Collection,7.4,Alien Stone Brown,1.2,Alien Stone Brown,0.6,Alien Stone Brown,0.6,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.97142857
#391,365,Cosmic Power ,13.6,Alien Stone Red,1.8,Alien Stone Red,2.2,Alien Stone Red,2.2,Red Light Plat,0.2,Blue Light Plat,4.2,Space Studio,59.2,11.91428571
#392,364,Cosmic Power ,13.6,Alien Stone Blue,0.4,Alien Stone Blue,1.2,Alien Stone Blue,1.2,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,11.88571429
#370,362,Alien Collection,7.4,Alien Stone Khaki,0.4,Alien Stone Khaki,0.6,Alien Stone Khaki,0.6,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.85714286
#372,361,Alien Collection,7.4,Alien Stonelavender,0.4,Alien Stonelavender,0.6,Alien Stonelavender,0.6,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.85714286
#361,363,Alien Collection,7.4,Alien Stone Leaf Green,0.4,Alien Stone Leaf Green,0.6,Alien Stone Leaf Green,0.6,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.85714286
#422,360,Cosmic Power ,13.6,Alien Stone White,1.2,Alien Stone Leaf Green,0.6,Alien Stone Leaf Green,0.6,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,11.82857143
#455,359,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone Red,2.2,Alien Stone Red,2.2,Pink Light Plat,1.4,Pink Light Plat,1.4,Space Studio,59.2,11.82857143
#367,355,Alien Collection,7.4,Alien Stone Putty,0.4,Alien Stone Putty,0.4,Alien Stone Putty,0.4,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.8
#365,357,Alien Collection,7.4,Alien Stone Ice Blue,0.4,Alien Stone Ice Blue,0.4,Alien Stone Ice Blue,0.4,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.8
#371,352,Alien Collection,7.4,Alien Stoneumber,0.4,Alien Stoneumber,0.4,Alien Stoneumber,0.4,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.8
#369,353,Alien Collection,7.4,Alien Stonepeach,0.4,Alien Stonepeach,0.4,Alien Stonepeach,0.4,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.8
#366,356,Alien Collection,7.4,Alien Stonejade,0.4,Alien Stonejade,0.4,Alien Stonejade,0.4,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.8
#373,351,Alien Collection,7.4,Alien Stone Lemon,0.4,Alien Stone Lemon,0.4,Alien Stone Lemon,0.4,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.8
#368,354,Alien Collection,7.4,Alien Stone Rosewood,0.4,Alien Stone Rosewood,0.4,Alien Stone Rosewood,0.4,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.8
#374,350,Alien Collection,7.4,Alien Stone Mauve,0.4,Alien Stone Mauve,0.4,Alien Stone Mauve,0.4,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.8
